level_id,heuristic,success,nodes,runtime,solution_len
sokoban_core/levels/boxoban/medium/train/029.txt#788,gnn[speed+dl],True,164,0.2514312267303467,14
sokoban_core/levels/boxoban/medium/train/347.txt#390,gnn[speed+dl],True,59,0.21051383018493652,15
sokoban_core/levels/boxoban/medium/train/426.txt#860,gnn[speed+dl],True,52,0.08037710189819336,12
sokoban_core/levels/boxoban/medium/train/353.txt#162,gnn[speed+dl],True,125,0.25592923164367676,21
sokoban_core/levels/boxoban/medium/train/011.txt#318,gnn[speed+dl],True,18,0.061326026916503906,14
sokoban_core/levels/boxoban/medium/train/101.txt#518,gnn[speed+dl],True,14,0.04761171340942383,9
sokoban_core/levels/boxoban/medium/train/121.txt#731,gnn[speed+dl],True,26,0.04864907264709473,10
sokoban_core/levels/boxoban/medium/train/173.txt#414,gnn[speed+dl],True,108,0.2288370132446289,14
sokoban_core/levels/boxoban/medium/train/102.txt#436,gnn[speed+dl],True,16,0.03831219673156738,8
sokoban_core/levels/boxoban/medium/train/217.txt#751,gnn[speed+dl],True,136,0.27980685234069824,18
sokoban_core/levels/boxoban/medium/train/127.txt#582,gnn[speed+dl],True,73,0.23529481887817383,18
sokoban_core/levels/boxoban/medium/train/044.txt#580,gnn[speed+dl],True,234,0.4204888343811035,10
sokoban_core/levels/boxoban/medium/train/358.txt#608,gnn[speed+dl],True,10,0.06844687461853027,10
sokoban_core/levels/boxoban/medium/train/342.txt#719,gnn[speed+dl],True,22,0.12189388275146484,10
sokoban_core/levels/boxoban/medium/train/022.txt#182,gnn[speed+dl],True,221,0.21736598014831543,17
sokoban_core/levels/boxoban/medium/train/398.txt#856,gnn[speed+dl],True,185,0.4044640064239502,20
sokoban_core/levels/boxoban/medium/train/310.txt#299,gnn[speed+dl],True,368,0.606712818145752,11
sokoban_core/levels/boxoban/medium/train/021.txt#705,gnn[speed+dl],True,16,0.09569311141967773,13
sokoban_core/levels/boxoban/medium/train/449.txt#460,gnn[speed+dl],True,123,0.34540581703186035,13
sokoban_core/levels/boxoban/medium/train/422.txt#133,gnn[speed+dl],True,29,0.15491819381713867,15
sokoban_core/levels/boxoban/medium/train/158.txt#318,gnn[speed+dl],True,289,0.29644012451171875,11
sokoban_core/levels/boxoban/medium/train/435.txt#235,gnn[speed+dl],True,41,0.18156194686889648,13
sokoban_core/levels/boxoban/medium/train/371.txt#225,gnn[speed+dl],True,44,0.1350250244140625,14
sokoban_core/levels/boxoban/medium/train/110.txt#266,gnn[speed+dl],True,14,0.11551070213317871,10
sokoban_core/levels/boxoban/medium/train/350.txt#585,gnn[speed+dl],True,83,0.1995840072631836,13
sokoban_core/levels/boxoban/medium/train/344.txt#29,gnn[speed+dl],True,253,0.41542696952819824,20
sokoban_core/levels/boxoban/medium/train/270.txt#804,gnn[speed+dl],True,121,0.32515907287597656,12
sokoban_core/levels/boxoban/medium/train/110.txt#1,gnn[speed+dl],True,19,0.0702519416809082,11
sokoban_core/levels/boxoban/medium/train/439.txt#580,gnn[speed+dl],True,22,0.10030078887939453,16
sokoban_core/levels/boxoban/medium/train/275.txt#745,gnn[speed+dl],True,153,0.5285990238189697,21
sokoban_core/levels/boxoban/medium/train/193.txt#89,gnn[speed+dl],True,470,0.9751780033111572,19
sokoban_core/levels/boxoban/medium/train/004.txt#301,gnn[speed+dl],True,561,1.180866003036499,23
sokoban_core/levels/boxoban/medium/train/077.txt#144,gnn[speed+dl],True,202,0.3670468330383301,12
sokoban_core/levels/boxoban/medium/train/014.txt#727,gnn[speed+dl],True,394,0.5674090385437012,22
sokoban_core/levels/boxoban/medium/train/084.txt#986,gnn[speed+dl],True,115,0.2305128574371338,15
sokoban_core/levels/boxoban/medium/train/139.txt#930,gnn[speed+dl],True,192,0.533776044845581,11
sokoban_core/levels/boxoban/medium/train/276.txt#980,gnn[speed+dl],True,25,0.11002492904663086,13
sokoban_core/levels/boxoban/medium/train/329.txt#480,gnn[speed+dl],True,521,0.8586359024047852,25
sokoban_core/levels/boxoban/medium/train/227.txt#699,gnn[speed+dl],True,243,0.48500895500183105,13
sokoban_core/levels/boxoban/medium/train/081.txt#270,gnn[speed+dl],True,11,0.011070013046264648,5
sokoban_core/levels/boxoban/medium/train/228.txt#433,gnn[speed+dl],True,438,1.0108051300048828,14
sokoban_core/levels/boxoban/medium/train/061.txt#759,gnn[speed+dl],True,243,0.2510218620300293,19
sokoban_core/levels/boxoban/medium/train/006.txt#139,gnn[speed+dl],True,20,0.15963077545166016,15
sokoban_core/levels/boxoban/medium/train/143.txt#18,gnn[speed+dl],True,9,0.05339694023132324,9
sokoban_core/levels/boxoban/medium/train/089.txt#591,gnn[speed+dl],True,110,0.25466012954711914,16
sokoban_core/levels/boxoban/medium/train/332.txt#742,gnn[speed+dl],True,1080,1.3812389373779297,18
sokoban_core/levels/boxoban/medium/train/049.txt#366,gnn[speed+dl],True,193,0.29384708404541016,14
sokoban_core/levels/boxoban/medium/train/426.txt#807,gnn[speed+dl],True,17,0.046996355056762695,11
sokoban_core/levels/boxoban/medium/train/086.txt#105,gnn[speed+dl],True,58,0.2109382152557373,15
sokoban_core/levels/boxoban/medium/train/348.txt#670,gnn[speed+dl],True,298,0.8002588748931885,16
sokoban_core/levels/boxoban/medium/train/351.txt#811,gnn[speed+dl],True,722,1.1585829257965088,17
sokoban_core/levels/boxoban/medium/train/184.txt#408,gnn[speed+dl],True,477,1.2078211307525635,19
sokoban_core/levels/boxoban/medium/train/401.txt#633,gnn[speed+dl],True,1245,1.7818539142608643,18
sokoban_core/levels/boxoban/medium/train/314.txt#904,gnn[speed+dl],True,195,0.643427848815918,16
sokoban_core/levels/boxoban/medium/train/201.txt#464,gnn[speed+dl],True,704,1.7050740718841553,18
sokoban_core/levels/boxoban/medium/train/370.txt#790,gnn[speed+dl],True,85,0.26955509185791016,15
sokoban_core/levels/boxoban/medium/train/089.txt#959,gnn[speed+dl],True,605,1.371588945388794,14
sokoban_core/levels/boxoban/medium/train/037.txt#345,gnn[speed+dl],True,648,1.2117598056793213,20
sokoban_core/levels/boxoban/medium/train/445.txt#486,gnn[speed+dl],True,75,0.17044687271118164,10
sokoban_core/levels/boxoban/medium/train/097.txt#410,gnn[speed+dl],True,1042,2.464146137237549,20
sokoban_core/levels/boxoban/medium/train/284.txt#202,gnn[speed+dl],True,215,0.3653078079223633,12
sokoban_core/levels/boxoban/medium/train/005.txt#76,gnn[speed+dl],True,1296,2.3292250633239746,19
sokoban_core/levels/boxoban/medium/train/226.txt#161,gnn[speed+dl],True,159,0.479917049407959,17
sokoban_core/levels/boxoban/medium/train/389.txt#189,gnn[speed+dl],True,16,0.056031227111816406,14
sokoban_core/levels/boxoban/medium/train/348.txt#95,gnn[speed+dl],True,56,0.10683012008666992,13
sokoban_core/levels/boxoban/medium/train/229.txt#444,gnn[speed+dl],True,1093,2.0907840728759766,20
sokoban_core/levels/boxoban/medium/train/341.txt#137,gnn[speed+dl],True,208,0.45302772521972656,14
sokoban_core/levels/boxoban/medium/train/385.txt#399,gnn[speed+dl],True,754,1.44305419921875,23
sokoban_core/levels/boxoban/medium/train/238.txt#551,gnn[speed+dl],True,228,0.48965883255004883,24
sokoban_core/levels/boxoban/medium/train/368.txt#440,gnn[speed+dl],True,30,0.13638997077941895,13
sokoban_core/levels/boxoban/medium/train/112.txt#309,gnn[speed+dl],True,2794,3.243682861328125,29
sokoban_core/levels/boxoban/medium/train/002.txt#297,gnn[speed+dl],True,21,0.021014928817749023,15
sokoban_core/levels/boxoban/medium/train/032.txt#443,gnn[speed+dl],True,461,0.5908999443054199,19
sokoban_core/levels/boxoban/medium/train/240.txt#66,gnn[speed+dl],True,180,0.4020810127258301,8
