model_csv,levels,success,total_time_s,total_nodes,time_per_node_ms,node_overhead_vs_hun
batch_gnn_gnn_best_128_4_3872256_lr1e-4.csv,1000,1000/1000,1333.74,427939,3.1166,5.11
batch_gnn_gnn_best_128_4_3872256_lr5e-4.csv,1000,1000/1000,1336.82,425679,3.1404,5.15
batch_gnn_gnn_best_64_5_3872254_lr1e-4.csv,1000,1000/1000,1361.19,505195,2.6944,4.42
batch_gnn_gnn_best_128_5_3872257_lr5e-4.csv,1000,1000/1000,1368.33,359368,3.8076,6.24
batch_gnn_gnn_best_64_4_3872253_lr1e-4.csv,1000,1000/1000,1376.59,595429,2.3119,3.79
batch_gnn_gnn_best_128_4_3872256_lr2e-4.csv,1000,1000/1000,1384.42,447154,3.0961,5.07
batch_gnn_gnn_best_128_5_3872257_lr1e-4.csv,1000,1000/1000,1396.40,356944,3.9121,6.41
batch_gnn_gnn_best_64_3_3872252_lr1e-4.csv,1000,1000/1000,1453.54,770957,1.8854,3.09
batch_gnn_gnn_best_64_3_3872252_lr2e-4.csv,1000,1000/1000,1467.04,767128,1.9124,3.13
batch_gnn_gnn_best_128_5_3872257_lr2e-4.csv,1000,1000/1000,1498.94,394921,3.7955,6.22
batch_gnn_gnn_best_128_6_3872258_lr5e-4.csv,1000,1000/1000,1507.82,331908,4.5429,7.44
batch_gnn_gnn_best_128_6_3872258_lr1e-4.csv,1000,1000/1000,1513.41,330122,4.5844,7.51
batch_gnn_gnn_best_64_5_3872254_lr2e-4.csv,1000,1000/1000,1562.41,586340,2.6647,4.37
batch_gnn_gnn_best_64_6_3872255_lr2e-4.csv,1000,1000/1000,1570.04,515499,3.0457,4.99
batch_gnn_gnn_best_64_4_3872253_lr5e-4.csv,1000,1000/1000,1587.25,713649,2.2241,3.64
batch_gnn_gnn_best_128_6_3872258_lr2e-4.csv,1000,1000/1000,1597.02,356330,4.4819,7.34
batch_gnn_gnn_best_64_2_3872251_lr2e-4.csv,1000,1000/1000,1601.11,1062513,1.5069,2.47
batch_gnn_gnn_best_32_2_3872246_lr1e-4.csv,1000,1000/1000,1626.44,1239442,1.3122,2.15
batch_gnn_gnn_best_32_3_3872247_lr1e-4.csv,1000,1000/1000,1633.00,1021184,1.5991,2.62
batch_gnn_gnn_best_64_5_3872254_lr5e-4.csv,1000,1000/1000,1643.83,632469,2.5991,4.26
batch_gnn_gnn_best_64_2_3872251_lr1e-4.csv,1000,1000/1000,1656.21,1118915,1.4802,2.43
batch_gnn_gnn_best_32_2_3872246_lr5e-4.csv,1000,1000/1000,1675.91,1247494,1.3434,2.20
batch_gnn_gnn_best_32_3_3872247_lr5e-4.csv,1000,1000/1000,1675.99,1044876,1.6040,2.63
batch_gnn_gnn_best_64_3_3872252_lr5e-4.csv,1000,1000/1000,1691.70,945212,1.7898,2.93
batch_gnn_gnn_best_32_2_3872246_lr2e-4.csv,1000,1000/1000,1729.14,1281055,1.3498,2.21
batch_gnn_gnn_best_64_4_3872253_lr2e-4.csv,1000,1000/1000,1743.07,771206,2.2602,3.70
batch_gnn_gnn_best_64_2_3872251_lr5e-4.csv,1000,1000/1000,1782.29,1185197,1.5038,2.46
batch_gnn_gnn_best_64_6_3872255_lr1e-4.csv,1000,1000/1000,1787.49,618269,2.8911,4.74
batch_gnn_gnn_best_32_4_3872248_lr2e-4.csv,1000,1000/1000,1803.00,982616,1.8349,3.01
batch_gnn_gnn_best_32_3_3872247_lr2e-4.csv,1000,1000/1000,1838.68,1168923,1.5730,2.58
batch_gnn_gnn_best_32_4_3872248_lr1e-4.csv,1000,1000/1000,1848.45,1012967,1.8248,2.99
batch_gnn_gnn_best_32_4_3872248_lr5e-4.csv,1000,1000/1000,1943.91,1069623,1.8174,2.98
batch_gnn_gnn_best_64_6_3872255_lr5e-4.csv,1000,1000/1000,2015.22,697599,2.8888,4.73
batch_gnn_gnn_best_32_5_3872249_lr1e-4.csv,1000,1000/1000,2237.74,1074561,2.0825,3.41
batch_gnn_gnn_best_32_5_3872249_lr2e-4.csv,1000,1000/1000,2356.78,1160652,2.0306,3.33
batch_gnn_gnn_best_256_4_3872259_lr1e-4.csv,1000,1000/1000,2451.29,348142,7.0411,11.54
batch_gnn_gnn_best_256_4_3872259_lr2e-4.csv,1000,1000/1000,2581.21,371472,6.9486,11.39
batch_gnn_gnn_best_256_4_3872259_lr5e-4.csv,1000,1000/1000,2812.19,418084,6.7264,11.02
batch_gnn_gnn_best_256_6_3872261_lr5e-4.csv,1000,1000/1000,3056.31,275904,11.0774,18.15
batch_gnn_gnn_best_256_6_3872261_lr1e-4.csv,1000,1000/1000,3186.22,275454,11.5671,18.96
batch_gnn_gnn_best_32_6_3872250_lr1e-4.csv,1000,1000/1000,3244.86,1494753,2.1708,3.56
batch_gnn_gnn_best_32_5_3872249_lr5e-4.csv,1000,1000/1000,3247.30,1590558,2.0416,3.35
batch_gnn_gnn_best_256_6_3872261_lr2e-4.csv,1000,1000/1000,3301.26,286427,11.5257,18.89
batch_gnn_gnn_best_32_6_3872250_lr5e-4.csv,1000,1000/1000,3314.19,1540691,2.1511,3.53
batch_gnn_gnn_best_32_6_3872250_lr2e-4.csv,1000,1000/1000,3565.13,1710720,2.0840,3.42
batch_gnn_gnn_best_256_5_3872260_lr2e-4.csv,1000,1000/1000,3570.60,316741,11.2729,18.47
batch_gnn_gnn_best_256_5_3872260_lr5e-4.csv,1000,1000/1000,3583.36,316793,11.3114,18.54
batch_gnn_gnn_best_256_5_3872260_lr1e-4.csv,1000,1000/1000,3685.36,318618,11.5667,18.95
