model_csv,levels,success,total_time_s,total_nodes,time_per_node_ms,node_overhead_vs_hun
batch_gnn_gnn_best_128_4_3872256_lr1e-4.csv,1000,1000/1000,1333.74,427939,3.1166,5.11
batch_gnn_gnn_best_64_5_3872254_lr1e-4.csv,1000,1000/1000,1361.19,505195,2.6944,4.42
batch_gnn_gnn_best_64_4_3872253_lr1e-4.csv,1000,1000/1000,1376.59,595429,2.3119,3.79
batch_gnn_gnn_best_128_5_3872257_lr1e-4.csv,1000,1000/1000,1396.40,356944,3.9121,6.41
batch_gnn_gnn_best_64_3_3872252_lr1e-4.csv,1000,1000/1000,1453.54,770957,1.8854,3.09
batch_gnn_gnn_best_128_6_3872258_lr1e-4.csv,1000,1000/1000,1513.41,330122,4.5844,7.51
batch_gnn_gnn_best_32_2_3872246_lr1e-4.csv,1000,1000/1000,1626.44,1239442,1.3122,2.15
batch_gnn_gnn_best_32_3_3872247_lr1e-4.csv,1000,1000/1000,1633.00,1021184,1.5991,2.62
batch_gnn_gnn_best_64_2_3872251_lr1e-4.csv,1000,1000/1000,1656.21,1118915,1.4802,2.43
batch_gnn_gnn_best_64_6_3872255_lr1e-4.csv,1000,1000/1000,1787.49,618269,2.8911,4.74
batch_gnn_gnn_best_32_4_3872248_lr1e-4.csv,1000,1000/1000,1848.45,1012967,1.8248,2.99
batch_gnn_gnn_best_32_5_3872249_lr1e-4.csv,1000,1000/1000,2237.74,1074561,2.0825,3.41
batch_gnn_gnn_best_256_4_3872259_lr1e-4.csv,1000,1000/1000,2451.29,348142,7.0411,11.54
batch_gnn_gnn_best_256_6_3872261_lr1e-4.csv,1000,1000/1000,3186.22,275454,11.5671,18.96
batch_gnn_gnn_best_32_6_3872250_lr1e-4.csv,1000,1000/1000,3244.86,1494753,2.1708,3.56
batch_gnn_gnn_best_256_5_3872260_lr1e-4.csv,1000,1000/1000,3685.36,318618,11.5667,18.95
batch_gnn_gnn_best_512_4_3829894_lr1e-4.csv,1000,1000/1000,13719.61,296916,46.2075,75.72
batch_gnn_gnn_best_512_5_3829895_lr1e-4.csv,1000,999/1000,16110.39,272710,59.0752,96.81
batch_gnn_gnn_best_512_6_3829896_lr1e-4.csv,1000,999/1000,18926.71,268987,70.3629,115.31
