level_id,mode,success,nodes,runtime,solution_len,calls_total,calls_uncached,deadlock_hits,comparable_states,hungarian_lt_gnn,hungarian_eq_gnn,gnn_lt_hungarian
sokoban_core/levels/boxoban/medium/valid/003.txt#961,optimal_mix,True,81,0.08522796630859375,11,209,209,31,178,166,3,9
sokoban_core/levels/boxoban/medium/train/056.txt#183,optimal_mix,True,499,0.522479772567749,10,1445,1445,478,967,939,3,25
sokoban_core/levels/boxoban/medium/train/160.txt#988,optimal_mix,True,267,0.32224082946777344,12,844,844,184,660,641,3,16
sokoban_core/levels/boxoban/medium/train/419.txt#916,optimal_mix,True,45,0.06038403511047363,8,141,141,14,127,108,2,17
sokoban_core/levels/boxoban/medium/train/050.txt#861,optimal_mix,True,1062,0.8772599697113037,16,2723,2722,793,1929,1914,1,14
sokoban_core/levels/boxoban/medium/train/196.txt#682,optimal_mix,True,797,0.42003488540649414,13,1503,1503,451,1052,1018,2,32
sokoban_core/levels/boxoban/medium/train/328.txt#780,optimal_mix,True,287,0.15131211280822754,13,483,483,107,376,375,0,1
sokoban_core/levels/boxoban/medium/train/285.txt#458,optimal_mix,True,2770,1.8856439590454102,16,5500,5496,1038,4458,4420,3,35
sokoban_core/levels/boxoban/medium/train/126.txt#812,optimal_mix,True,254,0.25504493713378906,14,706,706,143,563,537,2,24
sokoban_core/levels/boxoban/medium/train/371.txt#579,optimal_mix,True,1930,2.250312089920044,15,5264,5264,745,4519,4383,3,133
sokoban_core/levels/boxoban/medium/train/228.txt#116,optimal_mix,True,1628,1.9023778438568115,13,5196,5195,931,4264,4236,1,27
sokoban_core/levels/boxoban/medium/train/235.txt#168,optimal_mix,True,4692,2.703597068786621,24,7584,7584,1821,5763,5731,2,30
sokoban_core/levels/boxoban/medium/train/116.txt#90,optimal_mix,True,1184,1.1802282333374023,14,3288,3286,632,2654,2488,2,164
sokoban_core/levels/boxoban/medium/valid/040.txt#438,optimal_mix,True,1828,1.0511760711669922,18,3101,3101,685,2416,2399,1,16
sokoban_core/levels/boxoban/medium/train/403.txt#545,optimal_mix,True,912,0.9400629997253418,16,2575,2575,645,1930,1930,0,0
sokoban_core/levels/boxoban/medium/valid/028.txt#100,optimal_mix,True,781,0.6238160133361816,12,1784,1784,310,1474,1362,3,109
sokoban_core/levels/boxoban/medium/train/096.txt#222,optimal_mix,True,117,0.1192331314086914,10,304,304,43,261,245,2,14
sokoban_core/levels/boxoban/medium/train/118.txt#308,optimal_mix,True,889,0.49718308448791504,14,2039,2039,668,1371,1354,1,16
sokoban_core/levels/boxoban/medium/train/276.txt#981,optimal_mix,True,68,0.10019302368164062,9,249,249,16,233,229,1,3
sokoban_core/levels/boxoban/medium/train/442.txt#352,optimal_mix,True,597,0.7163257598876953,16,2183,2183,478,1705,1625,2,78
sokoban_core/levels/boxoban/medium/train/138.txt#515,optimal_mix,True,797,0.8548822402954102,11,1835,1835,195,1640,1639,0,1
sokoban_core/levels/boxoban/medium/train/078.txt#36,optimal_mix,True,38,0.062073707580566406,9,139,139,15,124,124,0,0
sokoban_core/levels/boxoban/medium/train/284.txt#478,optimal_mix,True,6291,4.38683819770813,20,11406,11406,2726,8680,8664,0,16
