level_id,mode,success,nodes,runtime,solution_len,calls_total,calls_uncached,deadlock_hits,comparable_states,hungarian_lt_gnn,hungarian_eq_gnn,gnn_lt_hungarian
sokoban_core/levels/boxoban/medium/valid/003.txt#961,speed,True,11,0.02518606185913086,11,57,57,7,50,47,1,2
sokoban_core/levels/boxoban/medium/train/050.txt#861,speed,True,21,0.0639350414276123,16,127,127,40,87,77,1,9
sokoban_core/levels/boxoban/medium/train/056.txt#183,speed,True,63,0.1320641040802002,10,351,351,102,249,230,3,16
sokoban_core/levels/boxoban/medium/train/371.txt#579,speed,True,54,0.13736200332641602,15,260,260,33,227,180,2,45
sokoban_core/levels/boxoban/medium/train/285.txt#458,speed,True,116,0.17519092559814453,16,384,384,74,310,290,1,19
sokoban_core/levels/boxoban/medium/train/160.txt#988,speed,True,53,0.09796309471130371,14,204,203,33,170,157,1,12
sokoban_core/levels/boxoban/medium/train/419.txt#916,speed,True,12,0.0481112003326416,8,59,59,2,57,44,1,12
sokoban_core/levels/boxoban/medium/train/196.txt#682,speed,True,67,0.07138776779174805,13,255,251,71,180,165,1,14
sokoban_core/levels/boxoban/medium/train/328.txt#780,speed,True,132,0.08767890930175781,13,273,272,41,231,231,0,0
sokoban_core/levels/boxoban/medium/train/235.txt#168,speed,True,493,0.4790627956390381,24,1213,1155,294,861,837,1,23
sokoban_core/levels/boxoban/medium/train/381.txt#954,speed,True,426,0.5437741279602051,23,1040,1040,134,906,895,1,10
sokoban_core/levels/boxoban/medium/train/126.txt#812,speed,True,73,0.10704421997070312,14,284,284,39,245,229,1,15
sokoban_core/levels/boxoban/medium/train/228.txt#116,speed,True,147,0.23972606658935547,15,579,569,70,499,481,1,17
sokoban_core/levels/boxoban/medium/valid/028.txt#100,speed,True,27,0.05290079116821289,12,130,130,24,106,81,1,24
sokoban_core/levels/boxoban/medium/train/403.txt#545,speed,True,30,0.09791922569274902,18,204,204,43,161,161,0,0
sokoban_core/levels/boxoban/medium/train/118.txt#308,speed,True,46,0.08459711074829102,14,219,219,67,152,144,1,7
sokoban_core/levels/boxoban/medium/valid/040.txt#438,speed,True,163,0.2341170310974121,18,540,524,84,440,437,1,2
sokoban_core/levels/boxoban/medium/train/096.txt#222,speed,True,19,0.05039095878601074,10,85,85,12,73,66,1,6
sokoban_core/levels/boxoban/medium/train/442.txt#352,speed,True,17,0.055078983306884766,16,96,96,8,88,84,1,3
sokoban_core/levels/boxoban/medium/train/230.txt#711,speed,True,850,0.9529819488525391,21,2263,2245,333,1912,1911,1,0
sokoban_core/levels/boxoban/medium/train/138.txt#515,speed,True,11,0.04047584533691406,11,77,77,9,68,68,0,0
sokoban_core/levels/boxoban/medium/train/187.txt#15,speed,True,173,0.39636707305908203,16,889,880,134,746,709,1,36
sokoban_core/levels/boxoban/medium/train/276.txt#981,speed,True,9,0.029904842376708984,9,53,53,6,47,44,1,2
sokoban_core/levels/boxoban/medium/train/078.txt#36,speed,True,24,0.05892205238342285,11,123,123,9,114,96,3,15
sokoban_core/levels/boxoban/medium/train/107.txt#628,speed,True,54,0.13935613632202148,18,354,354,86,268,216,1,51
sokoban_core/levels/boxoban/medium/train/029.txt#25,speed,True,834,0.4503169059753418,20,1290,1290,319,971,941,1,29
sokoban_core/levels/boxoban/medium/train/116.txt#90,speed,True,1094,1.1095218658447266,14,2705,2648,584,2064,1928,1,135
