target_group,group_000,group_001,group_002,group_003,group_004,group_005,group_006,group_007,group_008,group_009,group_010,group_011
group_000,0.505124,0.481698,0.428990,0.266471,0.443631,0.471449,0.462665,0.474378,0.414348,0.434846,0.405564,0.300146
group_001,0.937143,0.935238,0.925714,0.872381,0.933333,0.937143,0.937143,0.935238,0.931429,0.923810,0.923810,0.880000
group_002,0.039216,0.025490,0.035294,0.011765,0.031373,0.031373,0.043137,0.041176,0.037255,0.027451,0.017647,0.009804
group_003,0.051765,0.040000,0.075294,0.054118,0.042353,0.075294,0.065882,0.061176,0.077647,0.091765,0.065882,0.061176
group_004,0.733167,0.715711,0.685786,0.605985,0.738155,0.733167,0.718204,0.730673,0.688279,0.713217,0.693267,0.623441
group_005,0.412371,0.386598,0.394330,0.280928,0.365979,0.391753,0.391753,0.394330,0.389175,0.402062,0.368557,0.319588
group_006,0.197640,0.174041,0.126844,0.002950,0.156342,0.144543,0.165192,0.159292,0.070796,0.117994,0.085546,0.011799
group_007,0.601476,0.579336,0.583026,0.398524,0.583026,0.627306,0.579336,0.597786,0.523985,0.571956,0.516605,0.450185
group_008,0.000000,0.004167,0.004167,0.000000,0.004167,0.000000,0.004167,0.000000,0.004167,0.000000,0.000000,0.000000
group_009,0.141935,0.116129,0.129032,0.083871,0.122581,0.141935,0.154839,0.141935,0.135484,0.103226,0.129032,0.096774
group_010,0.013699,0.006849,0.000000,0.000000,0.000000,0.000000,0.027397,0.000000,0.006849,0.013699,0.000000,0.000000
group_011,0.161290,0.193548,0.161290,0.161290,0.161290,0.161290,0.161290,0.161290,0.193548,0.161290,0.161290,0.161290
