level_id,mode,success,nodes,runtime,solution_len,calls_total,calls_uncached,deadlock_hits,comparable_states,hungarian_lt_gnn,hungarian_eq_gnn,gnn_lt_hungarian
sokoban_core/levels/letslogic_solved/0006_microban_01.txt#55,speed,True,11,0.01633310317993164,6,37,37,11,26,24,1,1
sokoban_core/levels/letslogic_solved/0006_microban_01.txt#43,speed,True,1,0.009691953659057617,1,2,2,0,2,0,1,1
sokoban_core/levels/letslogic_solved/0006_microban_01.txt#25,speed,True,36,0.0371098518371582,10,118,118,41,77,77,0,0
sokoban_core/levels/letslogic_solved/0009_boxxle_01.txt#7,speed,True,229,0.2603127956390381,18,728,728,134,594,391,0,203
sokoban_core/levels/letslogic_solved/0001_member_levels.txt#596,speed,True,1547,0.7341530323028564,43,3046,2577,1040,1537,1537,0,0
sokoban_core/levels/letslogic_solved/0009_boxxle_01.txt#10,speed,True,1768,1.0196349620819092,18,3562,3379,1172,2207,2159,1,47
sokoban_core/levels/letslogic_solved/0001_member_levels.txt#2,speed,True,4640,1.7313158512115479,51,8813,5444,2279,3165,3163,1,1
sokoban_core/levels/letslogic_solved/0009_boxxle_01.txt#20,speed,True,2538,1.798717975616455,26,6078,5537,2366,3171,3164,0,7
sokoban_core/levels/letslogic_solved/0011_v2009.txt#91,speed,True,984,0.5389678478240967,41,2332,2231,1055,1176,1051,1,124
sokoban_core/levels/letslogic_solved/0012_microban_02.txt#15,speed,True,855,0.3990800380706787,24,1471,1278,412,866,814,1,51
sokoban_core/levels/letslogic_solved/0012_microban_02.txt#38,speed,True,97,0.06722307205200195,13,203,201,59,142,131,1,10
sokoban_core/levels/letslogic_solved/0012_microban_02.txt#64,speed,True,65,0.08658289909362793,11,279,279,126,153,134,1,18
sokoban_core/levels/letslogic_solved/0006_microban_01.txt#59,speed,True,6738,3.0057668685913086,50,11384,7609,2074,5535,5092,1,442
sokoban_core/levels/letslogic_solved/0012_microban_02.txt#56,speed,True,586,0.407336950302124,14,1524,1471,544,927,906,0,21
sokoban_core/levels/letslogic_solved/0001_member_levels.txt#24,speed,True,7141,3.1118006706237793,53,11432,9413,3141,6272,6203,1,68
sokoban_core/levels/letslogic_solved/0013_sasquatch_01.txt#13,speed,True,703,0.7339749336242676,15,2241,1989,387,1602,1595,0,7
sokoban_core/levels/letslogic_solved/0017_sasquatch_05.txt#2,speed,True,1303,1.1378402709960938,41,3681,3289,1020,2269,2209,1,59
sokoban_core/levels/letslogic_solved/0011_v2009.txt#84,speed,True,9368,4.451080083847046,43,19259,14109,5635,8474,8454,1,19
sokoban_core/levels/letslogic_solved/0026_sasquatch_09.txt#3,speed,True,4219,4.3141679763793945,23,16083,12404,4084,8320,8314,1,5
sokoban_core/levels/letslogic_solved/0029_mini_cosmos.txt#31,speed,True,71,0.03772997856140137,20,127,127,45,82,81,1,0
sokoban_core/levels/letslogic_solved/0030_micro_cosmos.txt#31,speed,True,916,0.49858999252319336,20,1786,1696,693,1003,997,0,6
sokoban_core/levels/letslogic_solved/0011_v2009.txt#77,speed,True,29694,10.546637058258057,56,51003,25216,7411,17805,17788,0,17
sokoban_core/levels/letslogic_solved/0031_nabo_cosmos.txt#0,speed,True,520,0.4548838138580322,19,1800,1743,655,1088,1068,1,19
sokoban_core/levels/letslogic_solved/0030_micro_cosmos.txt#36,speed,True,7431,3.259409189224243,49,12124,8442,2208,6234,6234,0,0
sokoban_core/levels/letslogic_solved/0031_nabo_cosmos.txt#4,speed,True,1790,1.098067045211792,24,3651,3278,1001,2277,2262,0,15
sokoban_core/levels/letslogic_solved/0023_grigr_2001.txt#55,speed,True,23378,14.981112957000732,28,57403,43889,17148,26741,26737,0,4
sokoban_core/levels/letslogic_solved/0018_sasquatch_06.txt#19,speed,True,9370,16.215740203857422,28,58277,46104,17165,28939,28478,1,460
sokoban_core/levels/letslogic_solved/0033_strategy.txt#14,speed,True,8990,8.116207122802734,33,23022,20401,7269,13132,11828,1,1303
sokoban_core/levels/letslogic_solved/0033_strategy.txt#24,speed,True,1245,0.7428040504455566,20,3022,1765,682,1083,898,1,184
sokoban_core/levels/letslogic_solved/0033_strategy.txt#47,speed,True,1,0.010526895523071289,1,6,6,0,6,2,1,3
sokoban_core/levels/letslogic_solved/0037_anomaly_1.txt#17,speed,True,5276,3.108344793319702,34,13667,11222,5250,5972,5928,1,43
sokoban_core/levels/letslogic_solved/0037_anomaly_1.txt#2,speed,True,317,0.32161808013916016,14,1078,1060,308,752,752,0,0
sokoban_core/levels/letslogic_solved/0031_nabo_cosmos.txt#39,speed,True,51562,24.6816349029541,42,122417,77869,34384,43485,43457,1,27
sokoban_core/levels/letslogic_solved/0037_anomaly_1.txt#3,speed,True,2356,1.3291878700256348,25,5964,5415,2469,2946,2646,2,298
sokoban_core/levels/letslogic_solved/0037_anomaly_1.txt#28,speed,True,10287,6.120862007141113,28,25266,20049,8139,11910,11887,1,22
sokoban_core/levels/letslogic_solved/0039_novoban.txt#11,speed,True,37,0.03351879119873047,12,90,88,23,65,62,1,2
sokoban_core/levels/letslogic_solved/0039_novoban.txt#14,speed,True,27,0.020768165588378906,12,69,69,26,43,43,0,0
sokoban_core/levels/letslogic_solved/0039_novoban.txt#4,speed,True,34,0.02450871467590332,10,73,73,23,50,50,0,0
sokoban_core/levels/letslogic_solved/0041_loma.txt#12,speed,True,199,0.10525107383728027,19,416,416,155,261,259,1,1
sokoban_core/levels/letslogic_solved/0041_loma.txt#15,speed,True,129,0.09960222244262695,15,307,295,77,218,216,1,1
sokoban_core/levels/letslogic_solved/0041_loma.txt#26,speed,True,356,0.21498417854309082,17,642,633,196,437,420,0,17
sokoban_core/levels/letslogic_solved/0038_anomaly_2.txt#3,speed,True,2089,1.707277774810791,19,6155,5748,2087,3661,3504,1,156
sokoban_core/levels/letslogic_solved/0041_loma.txt#47,speed,True,102,0.09362101554870605,12,362,361,119,242,237,0,5
sokoban_core/levels/letslogic_solved/0041_loma.txt#48,speed,True,103,0.06123685836791992,22,248,248,111,137,136,1,0
sokoban_core/levels/letslogic_solved/0041_loma.txt#31,speed,True,976,0.5427579879760742,34,1584,1442,368,1074,1072,1,1
sokoban_core/levels/letslogic_solved/0047_choriban.txt#18,speed,True,157,0.07989287376403809,21,325,325,123,202,190,0,12
sokoban_core/levels/letslogic_solved/0047_choriban.txt#10,speed,True,326,0.14148402214050293,17,608,577,190,387,274,1,112
sokoban_core/levels/letslogic_solved/0047_choriban.txt#54,speed,True,277,0.14185595512390137,18,576,567,174,393,166,2,225
sokoban_core/levels/letslogic_solved/0047_choriban.txt#36,speed,True,392,0.2311549186706543,20,866,850,241,609,547,1,61
sokoban_core/levels/letslogic_solved/0050_picolevels.txt#20,speed,True,138,0.13282394409179688,17,450,446,99,347,321,1,25
sokoban_core/levels/letslogic_solved/0050_picolevels.txt#27,speed,True,201,0.1089777946472168,21,410,399,146,253,250,0,3
sokoban_core/levels/letslogic_solved/0050_picolevels.txt#7,speed,True,153,0.07993292808532715,17,369,369,184,185,184,1,0
sokoban_core/levels/letslogic_solved/0050_picolevels.txt#37,speed,True,480,0.29189205169677734,21,897,836,263,573,568,1,4
sokoban_core/levels/letslogic_solved/0051_sokompact.txt#37,speed,True,1746,0.8356778621673584,39,3331,3213,1444,1769,1746,0,23
sokoban_core/levels/letslogic_solved/0051_sokompact.txt#11,speed,True,2929,1.7346580028533936,25,6037,5617,1955,3662,3491,0,171
sokoban_core/levels/letslogic_solved/0017_sasquatch_05.txt#3,speed,True,98458,60.582988023757935,42,190093,147473,43221,104252,97657,2,6593
sokoban_core/levels/letslogic_solved/0062_dimitri_yorick.txt#46,speed,True,8,0.01985311508178711,8,41,41,7,34,26,1,7
sokoban_core/levels/letslogic_solved/0067_puzzle.txt#12,speed,True,438,0.28792691230773926,22,1027,1027,361,666,487,1,178
sokoban_core/levels/letslogic_solved/0001_member_levels.txt#7,speed,True,222634,64.39334011077881,114,368139,114083,32080,82003,81678,1,324
sokoban_core/levels/letslogic_solved/0067_puzzle.txt#93,speed,True,47,0.06731605529785156,22,146,146,9,137,124,1,12
sokoban_core/levels/letslogic_solved/0068_sokolate.txt#22,speed,True,3098,1.397979974746704,37,6334,4774,1910,2864,2793,1,70
sokoban_core/levels/letslogic_solved/0068_sokolate.txt#29,speed,True,339,0.17354798316955566,21,853,796,335,461,460,0,1
sokoban_core/levels/letslogic_solved/0068_sokolate.txt#16,speed,True,1838,1.989804983139038,22,6298,6044,1970,4074,4058,0,16
sokoban_core/levels/letslogic_solved/0068_sokolate.txt#35,speed,True,1909,0.8679060935974121,39,3493,3212,1201,2011,1940,1,70
sokoban_core/levels/letslogic_solved/0068_sokolate.txt#36,speed,True,6976,4.359511137008667,33,20037,16301,6450,9851,9828,1,22
sokoban_core/levels/letslogic_solved/0068_sokolate.txt#6,speed,True,2929,1.7978460788726807,25,5967,5464,1740,3724,3717,1,6
sokoban_core/levels/letslogic_solved/0072_cosmac_01.txt#7,speed,True,297,0.8531460762023926,12,1665,1635,184,1451,1192,1,258
sokoban_core/levels/letslogic_solved/0068_sokolate.txt#38,speed,True,21928,8.698643922805786,43,47617,26204,10172,16032,16027,1,4
sokoban_core/levels/letslogic_solved/0077_kokoban.txt#12,speed,True,6755,3.526977062225342,68,13610,12134,4873,7261,6143,2,1116
sokoban_core/levels/letslogic_solved/0011_v2009.txt#152,speed,True,245217,92.5238242149353,104,405089,210891,60541,150350,149965,1,384
sokoban_core/levels/letslogic_solved/0082_scoria_01.txt#17,speed,True,130,0.07080817222595215,15,305,305,117,188,184,1,3
sokoban_core/levels/letslogic_solved/0082_scoria_01.txt#4,speed,True,137,0.06769680976867676,16,252,252,91,161,159,1,1
sokoban_core/levels/letslogic_solved/0082_scoria_01.txt#7,speed,True,76,0.06384396553039551,17,239,238,84,154,143,0,11
sokoban_core/levels/letslogic_solved/0077_kokoban.txt#15,speed,True,26189,17.457274198532104,38,72320,44556,10746,33810,33806,1,3
sokoban_core/levels/letslogic_solved/0089_microban_03.txt#68,speed,True,52,0.04370403289794922,21,152,152,67,85,81,1,3
sokoban_core/levels/letslogic_solved/0089_microban_03.txt#77,speed,True,19,0.02284526824951172,11,54,54,14,40,40,0,0
sokoban_core/levels/letslogic_solved/0089_microban_03.txt#82,speed,True,70,0.06114315986633301,10,207,206,90,116,116,0,0
sokoban_core/levels/letslogic_solved/0089_microban_03.txt#95,speed,True,176,0.1183631420135498,20,557,484,234,250,248,1,1
sokoban_core/levels/letslogic_solved/0084_scoria_03.txt#9,speed,True,659,0.6840898990631104,27,2256,1825,499,1326,1290,1,35
sokoban_core/levels/letslogic_solved/0090_v2010.txt#48,speed,True,1420,0.7579009532928467,56,2891,2541,923,1618,1613,0,5
sokoban_core/levels/letslogic_solved/0090_v2010.txt#66,speed,True,5165,2.238290786743164,54,8887,6302,1787,4515,4473,0,42
sokoban_core/levels/letslogic_solved/0090_v2010.txt#44,speed,True,15452,7.4433557987213135,45,27374,23855,8959,14896,14836,1,59
sokoban_core/levels/letslogic_solved/0092_verticle_mobility.txt#19,speed,True,586,0.40871095657348633,28,1693,1541,785,756,754,1,1
sokoban_core/levels/letslogic_solved/0092_verticle_mobility.txt#26,speed,True,975,0.42496275901794434,30,1803,1672,690,982,978,1,3
sokoban_core/levels/letslogic_solved/0092_verticle_mobility.txt#30,speed,True,1075,0.525738000869751,31,2038,1626,544,1082,1075,0,7
sokoban_core/levels/letslogic_solved/0092_verticle_mobility.txt#31,speed,True,3760,2.0561869144439697,37,9355,7899,3679,4220,4213,0,7
sokoban_core/levels/letslogic_solved/0032_pico_cosmos.txt#14,speed,True,170378,91.49068284034729,63,318311,249124,93605,155519,155394,1,124
sokoban_core/levels/letslogic_solved/0092_verticle_mobility.txt#6,speed,True,10085,5.062939167022705,20,26156,18371,8865,9506,9474,1,31
sokoban_core/levels/letslogic_solved/0059_the_cantrip_collection_1.txt#5,speed,True,139209,72.93450927734375,44,284859,197021,79763,117258,117219,1,38
sokoban_core/levels/letslogic_solved/0106_revenge_01.txt#30,speed,True,2332,1.7109498977661133,24,4017,3985,513,3472,3180,0,292
sokoban_core/levels/letslogic_solved/0106_revenge_01.txt#55,speed,True,676,0.3742549419403076,32,1176,1120,325,795,754,1,40
sokoban_core/levels/letslogic_solved/0106_revenge_01.txt#28,speed,True,13540,6.818077802658081,25,26066,20571,7940,12631,11351,0,1280
sokoban_core/levels/letslogic_solved/0108_hand-made.txt#25,speed,True,23889,13.727298021316528,33,57915,46965,19625,27340,27116,0,224
sokoban_core/levels/letslogic_solved/0109_revenge_02.txt#12,speed,True,7981,6.537484884262085,59,20652,16959,4748,12211,10375,1,1835
sokoban_core/levels/letslogic_solved/0110_revenge_03.txt#93,speed,True,284,0.39919018745422363,22,1206,1177,136,1041,606,1,434
sokoban_core/levels/letslogic_solved/0092_verticle_mobility.txt#39,speed,True,117999,63.47079110145569,50,216073,164110,57806,106304,106290,1,13
sokoban_core/levels/letslogic_solved/0023_grigr_2001.txt#19,speed,False,156401,180.00012183189392,-1,451594,366319,76953,289366,289366,0,0
sokoban_core/levels/letslogic_solved/0108_hand-made.txt#21,speed,True,128084,66.98875379562378,37,240681,180073,57505,122568,120725,1,1842
sokoban_core/levels/letslogic_solved/0032_pico_cosmos.txt#8,speed,False,204435,180.00122690200806,-1,507909,434273,127822,306451,306392,0,59
sokoban_core/levels/letslogic_solved/0128_alberto_garc_a_1-3.txt#1,speed,True,1846,1.913520097732544,19,5572,5299,1262,4037,3723,1,313
