target_group,group_000,group_001,group_002,group_003,group_004,group_005,group_006,group_007,group_008,group_009,group_010,group_011
group_000,170550.153734,177539.702782,174690.903367,217569.437775,179762.395315,178872.859444,172449.632504,172312.676428,301281.417277,200043.815520,262939.206442,306417.572474
group_001,39372.131429,38975.647619,46769.565714,67384.512381,39592.720000,41170.603810,39063.921905,37319.918095,64733.457143,47529.340952,65605.099048,83088.748571
group_002,65574.345098,64491.631373,85807.731373,90068.525490,69723.782353,80474.268627,88404.937255,79998.205882,133470.368627,91570.956863,103424.637255,135690.507843
group_003,59422.865882,63745.075294,93276.950588,104222.129412,69942.868235,84039.465882,88778.451765,74170.150588,141796.684706,91951.628235,128704.562353,184725.927059
group_004,111933.563591,119912.189526,135178.259352,139713.927681,115202.645885,109251.032419,109761.937656,102462.319202,198990.104738,124495.139651,164957.633416,198658.092269
group_005,143176.291237,144538.337629,149437.345361,202164.917526,152735.829897,154045.461340,150388.793814,152600.909794,244075.628866,156192.786082,227096.208763,272985.193299
group_006,65510.168142,69069.132743,76017.831858,74041.415929,64088.946903,78642.666667,68926.235988,71013.601770,141967.882006,78011.159292,90354.743363,120024.887906
group_007,96935.579336,100191.350554,101634.383764,156097.856089,106535.623616,94217.704797,104403.051661,92460.125461,211097.594096,117253.295203,164936.236162,207444.889299
group_008,19712.925000,19795.450000,29270.508333,33538.666667,19205.866667,24766.262500,26766.091667,27155.187500,40637.641667,28744.262500,31446.675000,45426.195833
group_009,75175.090323,75922.483871,97391.529032,113971.167742,83297.941935,84822.167742,94822.238710,82501.167742,145171.490323,91322.277419,106022.025806,145515.774194
group_010,11575.417808,12808.383562,19370.424658,20267.876712,11902.595890,16775.034247,16291.226027,17111.924658,30245.479452,18050.116438,21307.869863,40166.020548
group_011,18306.161290,17165.806452,24662.129032,22057.451613,21090.516129,19274.806452,20181.387097,19592.709677,21342.419355,19292.225806,22329.548387,31108.258065
