target_group,group_000,group_001,group_002,group_003,group_004,group_005,group_006,group_007,group_008,group_009,group_010,group_011
group_000,172.912069,181.914453,196.512423,238.753510,190.580435,181.910418,184.759889,184.836701,199.649954,192.653269,201.909781,229.321558
group_001,31.249841,31.142603,38.007200,57.804239,32.678655,31.893175,33.379037,31.936542,33.977369,36.719053,38.443476,52.269284
group_002,291.134610,293.273491,291.887337,296.751259,292.109607,292.374311,289.698015,289.950939,290.580297,292.923951,295.370501,297.198552
group_003,287.869928,289.491358,281.339876,287.403745,289.005085,282.249255,283.969876,284.911156,279.340578,278.917484,282.234791,284.587108
group_004,98.359161,100.894212,118.973393,141.336201,101.167099,99.216502,104.088749,100.675539,111.490837,106.420568,112.434006,133.545127
group_005,197.045613,204.913896,201.511751,230.652367,209.315118,199.218482,200.793068,201.634444,198.375375,196.768163,205.569770,217.688886
group_006,251.938180,257.430873,269.618600,299.136706,263.042391,268.098406,260.254659,262.846182,282.462652,270.280711,279.189223,297.860885
group_007,134.740086,144.991197,146.365837,199.272611,144.301437,131.624231,143.777941,138.363534,158.092346,146.884944,160.096043,185.673518
group_008,300.028517,298.789603,298.790218,300.025250,298.782966,300.021707,298.776389,300.023402,298.777965,300.020036,300.020050,300.017926
group_009,265.088012,273.667940,266.088738,277.912349,269.398112,264.029112,263.307305,265.648066,265.429506,273.075209,265.899523,274.910107
group_010,297.302751,298.128939,300.028889,300.036229,300.046541,300.038298,294.280762,300.042151,297.997757,297.523799,300.031191,300.028027
group_011,253.347330,249.604335,253.280422,253.345088,253.328999,253.309032,253.260419,253.335313,243.679170,253.236030,253.230817,253.251154
