level_id,mode,success,nodes,runtime,solution_len,calls_total,calls_uncached,deadlock_hits,comparable_states,hungarian_lt_gnn,hungarian_eq_gnn,gnn_lt_hungarian
sokoban_core/levels/letslogic_solved/0006_microban_01.txt#43,optimal_mix,True,1,0.013173103332519531,1,2,2,0,2,0,1,1
sokoban_core/levels/letslogic_solved/0006_microban_01.txt#55,optimal_mix,True,16,0.022481203079223633,6,51,51,18,33,31,1,1
sokoban_core/levels/letslogic_solved/0006_microban_01.txt#25,optimal_mix,True,101,0.05970406532287598,10,222,222,81,141,140,0,1
sokoban_core/levels/letslogic_solved/0001_member_levels.txt#596,optimal_mix,True,1742,0.8758809566497803,43,3007,3007,1172,1835,1835,0,0
sokoban_core/levels/letslogic_solved/0009_boxxle_01.txt#7,optimal_mix,True,1024,0.9727091789245605,16,2612,2612,519,2093,1978,0,115
sokoban_core/levels/letslogic_solved/0009_boxxle_01.txt#10,optimal_mix,True,2052,1.205165147781372,18,3941,3939,1387,2552,2489,1,62
sokoban_core/levels/letslogic_solved/0001_member_levels.txt#2,optimal_mix,True,3159,1.595494031906128,51,5745,5745,2439,3306,3303,2,1
sokoban_core/levels/letslogic_solved/0011_v2009.txt#91,optimal_mix,True,1995,1.0250449180603027,41,4197,4185,1910,2275,2067,2,206
sokoban_core/levels/letslogic_solved/0001_member_levels.txt#24,optimal_mix,True,6197,3.068692922592163,53,9431,9427,3138,6289,6216,1,72
sokoban_core/levels/letslogic_solved/0012_microban_02.txt#38,optimal_mix,True,181,0.0988762378692627,13,316,316,99,217,199,2,16
sokoban_core/levels/letslogic_solved/0012_microban_02.txt#15,optimal_mix,True,949,0.4369010925292969,24,1529,1529,490,1039,990,1,48
sokoban_core/levels/letslogic_solved/0012_microban_02.txt#64,optimal_mix,True,145,0.14175105094909668,9,482,481,207,274,255,1,18
sokoban_core/levels/letslogic_solved/0012_microban_02.txt#56,optimal_mix,True,794,0.48433780670166016,14,1674,1674,528,1146,1130,0,16
sokoban_core/levels/letslogic_solved/0006_microban_01.txt#59,optimal_mix,True,7591,4.0168821811676025,44,10731,10726,3036,7690,7206,1,483
sokoban_core/levels/letslogic_solved/0009_boxxle_01.txt#20,optimal_mix,True,5599,4.13526177406311,26,11050,11050,3472,7578,7427,0,151
sokoban_core/levels/letslogic_solved/0013_sasquatch_01.txt#13,optimal_mix,True,6140,4.747574090957642,15,12789,12771,3118,9653,9645,1,7
sokoban_core/levels/letslogic_solved/0011_v2009.txt#84,optimal_mix,True,13659,7.507333993911743,43,23178,23155,8553,14602,14581,1,20
sokoban_core/levels/letslogic_solved/0011_v2009.txt#77,optimal_mix,True,21679,11.381489038467407,48,31138,31133,8845,22288,22269,0,19
sokoban_core/levels/letslogic_solved/0017_sasquatch_05.txt#2,optimal_mix,True,15746,8.978372812271118,39,23644,23623,7158,16465,16394,1,70
sokoban_core/levels/letslogic_solved/0029_mini_cosmos.txt#31,optimal_mix,True,85,0.03922700881958008,20,148,148,58,90,89,1,0
sokoban_core/levels/letslogic_solved/0030_micro_cosmos.txt#31,optimal_mix,True,1003,0.49820590019226074,20,1823,1823,736,1087,1081,0,6
sokoban_core/levels/letslogic_solved/0030_micro_cosmos.txt#36,optimal_mix,True,6819,3.435422897338867,49,9404,9404,2533,6871,6871,0,0
sokoban_core/levels/letslogic_solved/0031_nabo_cosmos.txt#0,optimal_mix,True,3766,1.8642606735229492,19,7614,7608,3512,4096,4065,1,30
sokoban_core/levels/letslogic_solved/0026_sasquatch_09.txt#3,optimal_mix,True,30073,22.077505111694336,23,67575,67557,25351,42206,42202,1,3
sokoban_core/levels/letslogic_solved/0031_nabo_cosmos.txt#4,optimal_mix,True,3056,1.7172839641571045,24,4913,4910,1511,3399,3380,1,18
sokoban_core/levels/letslogic_solved/0031_nabo_cosmos.txt#39,optimal_mix,True,46691,25.351587057113647,42,85364,85323,38296,47027,46999,2,26
sokoban_core/levels/letslogic_solved/0023_grigr_2001.txt#55,optimal_mix,True,50284,45.892894983291626,22,134041,133797,47622,86175,86159,1,15
sokoban_core/levels/letslogic_solved/0033_strategy.txt#14,optimal_mix,True,35680,30.144479990005493,31,71458,71353,21478,49875,48325,1,1549
sokoban_core/levels/letslogic_solved/0011_v2009.txt#152,optimal_mix,True,176890,92.521479845047,104,245304,245284,68294,176990,176574,2,414
sokoban_core/levels/letslogic_solved/0033_strategy.txt#47,optimal_mix,True,1,0.010210037231445312,1,6,6,0,6,2,1,3
sokoban_core/levels/letslogic_solved/0037_anomaly_1.txt#17,optimal_mix,True,9235,4.845271110534668,28,17682,17669,8045,9624,9578,0,46
sokoban_core/levels/letslogic_solved/0037_anomaly_1.txt#2,optimal_mix,True,1132,0.8402128219604492,12,2606,2604,732,1872,1872,0,0
sokoban_core/levels/letslogic_solved/0033_strategy.txt#24,optimal_mix,True,34028,26.88758087158203,20,60598,60555,13680,46875,46542,1,332
sokoban_core/levels/letslogic_solved/0037_anomaly_1.txt#3,optimal_mix,True,3373,1.806865930557251,25,7029,7024,3106,3918,3600,3,315
sokoban_core/levels/letslogic_solved/0001_member_levels.txt#7,optimal_mix,True,207576,114.2298538684845,92,286976,286913,76786,210127,209806,1,320
sokoban_core/levels/letslogic_solved/0039_novoban.txt#11,optimal_mix,True,78,0.04676198959350586,12,159,159,50,109,104,3,2
sokoban_core/levels/letslogic_solved/0039_novoban.txt#14,optimal_mix,True,40,0.02366328239440918,12,74,74,28,46,46,0,0
sokoban_core/levels/letslogic_solved/0039_novoban.txt#4,optimal_mix,True,43,0.024845123291015625,10,83,83,26,57,57,0,0
sokoban_core/levels/letslogic_solved/0041_loma.txt#12,optimal_mix,True,286,0.12337899208068848,19,532,532,209,323,321,1,1
sokoban_core/levels/letslogic_solved/0041_loma.txt#15,optimal_mix,True,479,0.23735308647155762,15,820,820,248,572,569,2,1
sokoban_core/levels/letslogic_solved/0041_loma.txt#26,optimal_mix,True,437,0.2613410949707031,17,773,772,233,539,516,0,23
sokoban_core/levels/letslogic_solved/0041_loma.txt#31,optimal_mix,True,1155,0.6237318515777588,34,1659,1659,439,1220,1217,2,1
