level_id,heuristic,success,nodes,runtime,solution_len
sokoban_core/levels/letslogic/solved/0559_monry_collection.txt#0,hungarian+dl,True,2,0.00172646763784045,2
sokoban_core/levels/letslogic/solved/0410_spiros_01.txt#66,hungarian+dl,True,57,0.0205049503647503,9
sokoban_core/levels/letslogic/solved/0628_suitcase_05.txt#478,hungarian+dl,True,16,0.0170881184203936,7
sokoban_core/levels/letslogic/solved/0301_maps_after_all.txt#45,hungarian+dl,True,41,0.0222662545503597,10
sokoban_core/levels/letslogic/solved/0410_spiros_01.txt#14,hungarian+dl,True,66,0.0235533066424782,10
sokoban_core/levels/letslogic/solved/0410_spiros_01.txt#164,hungarian+dl,True,67,0.0260846568817258,9
sokoban_core/levels/letslogic/solved/0317_soko.txt#37,hungarian+dl,True,27,0.00419637887465924,12
sokoban_core/levels/letslogic/solved/0012_microban_02.txt#8,hungarian+dl,True,51,0.0300061437248991,6
sokoban_core/levels/letslogic/solved/0199_howard_s_levels_03.txt#10,hungarian+dl,True,368,0.0707935655925117,10
sokoban_core/levels/letslogic/solved/0301_maps_after_all.txt#43,hungarian+dl,True,27,0.00316569210453143,11
sokoban_core/levels/letslogic/solved/0199_howard_s_levels_03.txt#28,hungarian+dl,True,371,0.0818090403449992,12
sokoban_core/levels/letslogic/solved/0006_microban_01.txt#43,hungarian+dl,True,1,9.72256378642606e-05,1
sokoban_core/levels/letslogic/solved/0250_sokogen-990602_levels.txt#48,hungarian+dl,True,252,0.0590981447667521,14
sokoban_core/levels/letslogic/solved/0476_yoshio_murase_s_auto-generated.txt#20,hungarian+dl,True,260,0.0700990515083543,19
sokoban_core/levels/letslogic/solved/0559_monry_collection.txt#54,hungarian+dl,True,180,0.0213603459604225,14
sokoban_core/levels/letslogic/solved/0317_soko.txt#126,hungarian+dl,True,352,0.0791850565582749,15
sokoban_core/levels/letslogic/solved/0250_sokogen-990602_levels.txt#45,hungarian+dl,True,97,0.0128746379677387,12
sokoban_core/levels/letslogic/solved/0317_soko.txt#21,hungarian+dl,True,219,0.125694223048994,9
sokoban_core/levels/letslogic/solved/0559_monry_collection.txt#9,hungarian+dl,True,32,0.00621262325075961,8
sokoban_core/levels/letslogic/solved/0043_sokevo.txt#3,hungarian+dl,True,100,0.0285949468443677,9
sokoban_core/levels/letslogic/solved/0250_sokogen-990602_levels.txt#67,hungarian+dl,True,192,0.0232519705042767,14
sokoban_core/levels/letslogic/solved/0199_howard_s_levels_03.txt#11,hungarian+dl,True,552,0.122002182377262,10
sokoban_core/levels/letslogic/solved/0476_yoshio_murase_s_auto-generated.txt#6,hungarian+dl,True,616,0.0799239080668656,14
sokoban_core/levels/letslogic/solved/0476_yoshio_murase_s_auto-generated.txt#32,hungarian+dl,True,567,0.164812974278473,17
sokoban_core/levels/letslogic/solved/0317_soko.txt#67,hungarian+dl,True,114,0.0150726657840153,11
sokoban_core/levels/letslogic/solved/0628_suitcase_05.txt#261,hungarian+dl,True,81,0.0263950188527583,6
sokoban_core/levels/letslogic/solved/0628_suitcase_05.txt#164,hungarian+dl,True,14,0.00166106993680146,6
sokoban_core/levels/letslogic/solved/0410_spiros_01.txt#173,hungarian+dl,True,13,0.00226991778303612,5
sokoban_core/levels/letslogic/solved/0006_microban_01.txt#0,hungarian+dl,True,24,0.00243111599043973,8
sokoban_core/levels/letslogic/solved/0629_suitcase_06.txt#457,hungarian+dl,True,55,0.00754401276731125,9
