target_group,group_000,group_001,group_002,group_003,group_004,group_005,group_006,group_007,group_008,group_009,group_010,group_011
group_000,57148.434783,65830.133739,69671.034130,100451.950549,58920.105611,58229.717391,58238.718354,61204.314815,102923.388693,70450.329966,96035.115523,122227.673171
group_001,18663.947154,18278.427699,25667.253086,33248.722707,18855.034694,19863.158537,20456.182927,18362.661914,30128.744376,22645.045361,33482.018557,38146.917749
group_002,22965.750000,11661.846154,22373.000000,6606.166667,17241.250000,11466.125000,22741.363636,18656.523810,18327.368421,15586.714286,11512.666667,3257.600000
group_003,48089.954545,28566.647059,39037.125000,61226.173913,31027.722222,46244.812500,38871.071429,37435.038462,28765.272727,46943.846154,29321.392857,64010.730769
group_004,40914.867347,38866.686411,61229.923636,64259.259259,47195.483108,41627.503401,41527.145833,38864.160410,58126.880435,50192.465035,62419.622302,74979.988000
group_005,55916.487500,60168.660000,52819.686275,68624.055046,60877.485915,51848.302632,52882.467105,55063.620915,77748.940397,51540.423077,78070.475524,86694.330645
group_006,17962.194030,23113.542373,15304.093023,6014.000000,16238.452830,26305.183673,16856.517857,20271.944444,28026.916667,12967.375000,20316.379310,170354.500000
group_007,27264.294479,38842.694268,40068.822785,68099.898148,34362.006329,31647.188235,30195.796178,30343.148148,54034.725352,38343.587097,43371.714286,98175.860656
group_008,nan,398.000000,299.000000,nan,75.000000,nan,43.000000,nan,101.000000,nan,nan,nan
group_009,26721.681818,49873.388889,17554.250000,34166.923077,35143.000000,34938.000000,42251.916667,37484.500000,32363.952381,30441.500000,42457.450000,37395.066667
group_010,4203.500000,677.000000,nan,nan,nan,nan,2056.000000,nan,69.000000,4112.000000,nan,nan
group_011,1179.600000,1172.500000,1105.000000,1201.000000,1181.200000,1187.600000,1143.400000,1183.600000,933.666667,1083.000000,1114.000000,1125.800000
