target_group,group_000,group_001,group_002,group_003,group_004,group_005,group_006,group_007,group_008,group_009,group_010,group_011
group_000,48.397961,54.850168,58.756809,70.137595,53.344365,49.511219,50.909414,57.225852,57.804858,53.134340,58.129333,64.504134
group_001,13.223788,12.525062,16.981849,22.373282,13.584123,13.910255,15.495795,13.373965,14.392774,15.004986,16.871675,18.487559
group_002,73.735787,35.760094,69.943514,23.229941,48.271527,56.709345,61.037446,55.726806,46.928791,41.953730,37.292999,13.587663
group_003,65.473316,36.978038,52.080504,67.107393,40.224782,64.152827,56.587698,53.189147,33.845158,70.183934,30.212232,47.944660
group_004,24.972162,21.806137,36.029359,38.170855,30.632188,26.135250,27.218438,27.203734,26.114546,28.580464,29.445459,33.005298
group_005,50.325302,54.039668,50.228438,53.123690,52.204015,42.737205,46.754457,50.546007,38.866496,43.227070,43.780040,42.433270
group_006,56.780307,55.350129,60.426180,4.556957,63.567695,79.253545,59.364398,66.708951,52.174246,48.079763,56.654333,118.168181
group_007,25.240705,32.434553,36.483285,47.238608,32.945238,31.587047,30.340611,29.599736,29.172700,32.293376,29.179604,46.041261
group_008,nan,2.201826,4.493503,nan,0.982168,nan,0.943026,nan,1.884010,nan,nan,nan
group_009,53.977791,73.180710,37.123717,36.574765,50.290078,46.525321,62.989954,57.918587,44.798127,39.073617,35.677504,40.655923
group_010,99.627239,21.373258,nan,nan,nan,nan,90.057144,nan,3.512164,116.674592,nan,nan
group_011,10.493169,39.335062,9.979072,10.395952,10.465084,10.159274,9.877393,10.340058,8.839740,9.711083,9.709285,9.960744
