group_id,n_levels,solved_rate_hungarian,solved_rate_general_gnn,solved_rate_clustered_gnn,n_all3_solved,runtime_hungarian_all3,runtime_general_gnn_all3,runtime_clustered_gnn_all3,nodes_hungarian_all3,nodes_general_gnn_all3,nodes_clustered_gnn_all3
group_000,683,0.496340,0.453880,0.506589,266,26.569167,45.643047,32.884577,124129.146617,57162.015038,44240.530075
group_001,525,0.939048,0.931429,0.935238,480,5.567577,11.621094,9.862960,28761.872917,17570.081250,15923.904167
group_002,510,0.023529,0.037255,0.035294,7,38.889268,15.418136,32.167498,69904.857143,4525.000000,3724.428571
group_003,425,0.068235,0.068235,0.054118,20,12.523080,24.094302,47.137219,47300.000000,18649.950000,51607.550000
group_004,401,0.745636,0.733167,0.738155,280,15.479175,26.961533,26.111032,75399.146429,41496.992857,43621.085714
group_005,388,0.404639,0.386598,0.391753,137,25.419063,35.877899,33.324989,123335.401460,42331.226277,43067.635036
group_006,339,0.106195,0.153392,0.165192,24,54.493515,27.876208,44.557654,102576.875000,6691.000000,13302.791667
group_007,271,0.575646,0.612546,0.597786,144,20.489073,22.898827,23.080794,92475.625000,25366.430556,26909.958333
group_008,240,0.004167,0.004167,0.004167,1,155.308254,4.662198,2.031049,126293.000000,209.000000,101.000000
group_009,155,0.103226,0.141935,0.103226,14,15.092945,18.641423,40.065752,50838.000000,16942.214286,32659.214286
group_010,146,0.006849,0.006849,0.000000,0,nan,nan,nan,nan,nan,nan
group_011,31,0.193548,0.161290,0.161290,5,1.508275,9.292560,9.095055,783.000000,1125.600000,1125.800000
