group_id,n_levels,solved_rate_hungarian,solved_rate_general_gnn,solved_rate_clustered_gnn,n_all3_solved,runtime_hungarian_all3,runtime_general_gnn_all3,runtime_clustered_gnn_all3,nodes_hungarian_all3,nodes_general_gnn_all3,nodes_clustered_gnn_all3
group_000,1242,0.156200,0.164251,0.173108,166,28.733538,46.590691,39.102591,129608.524096,55782.481928,46237.560241
group_001,1292,0.517802,0.520124,0.558050,597,22.690009,34.188624,29.564453,102457.824121,43139.010050,40320.743719
group_002,137,0.007299,0.007299,0.007299,1,0.406526,1.547561,1.746847,439.000000,487.000000,498.000000
group_003,470,0.206383,0.185106,0.202128,77,33.197797,46.318723,40.572971,119036.831169,59900.545455,52226.441558
group_004,117,0.059829,0.025641,0.042735,3,17.447203,74.924978,77.050779,101342.666667,115185.666667,158523.333333
group_005,36,0.055556,0.055556,0.027778,1,2.016590,1.152326,16.845894,10247.000000,737.000000,9595.000000
group_006,33,0.030303,0.060606,0.030303,1,0.208098,0.579882,31.507513,378.000000,85.000000,25367.000000
group_007,8,0.125000,0.000000,0.000000,0,nan,nan,nan,nan,nan,nan
group_008,489,0.916155,0.920245,0.942740,439,9.833418,12.824885,7.985007,26842.927107,11115.824601,9900.132118
group_009,37,0.000000,0.000000,0.000000,0,nan,nan,nan,nan,nan,nan
group_010,29,0.896552,0.896552,0.896552,26,10.561732,5.185506,15.626749,33662.461538,3058.038462,15067.076923
group_011,16,0.000000,0.125000,0.062500,0,nan,nan,nan,nan,nan,nan
group_012,74,0.986486,0.986486,1.000000,73,1.029211,1.799087,2.376796,6250.698630,2068.506849,3510.273973
group_013,33,0.060606,0.060606,0.060606,2,30.283491,17.087366,32.490082,115728.500000,16208.000000,30209.000000
group_014,115,0.078261,0.078261,0.069565,7,16.687534,57.313795,39.984270,67610.857143,34432.714286,30201.000000
